yyyymmdd,return,cumulative_return,mean_abs_weight,portfolio_direction,Stock_0,Stock_1,Stock_2,Stock_3,Stock_4,Stock_5,Stock_6,Stock_7,Stock_8,Stock_9,Stock_10,Stock_11,Stock_12,Stock_13,Stock_14,Stock_15,Stock_16,Stock_17,Stock_18,Stock_19,Stock_20,Stock_21,Stock_22,Stock_23,Stock_24,Stock_25,Stock_26,Stock_27,Stock_28,Stock_29,Stock_30,Stock_31,Stock_32,Stock_33,Stock_34,Stock_35,Stock_36,Stock_37,Stock_38,Stock_39,Stock_40,Stock_41,Stock_42,Stock_43,Stock_44,Stock_45,Stock_46,Stock_47,Stock_48,Stock_49,Stock_50,Stock_51,Stock_52,Stock_53,Stock_54,Stock_55,Stock_56,Stock_57,Stock_58,Stock_59,Stock_60,Stock_61,Stock_62,Stock_63,Stock_64,Stock_65,Stock_66,Stock_67,Stock_68,Stock_69,Stock_70,Stock_71,Stock_72,Stock_73,Stock_74,Stock_75,Stock_76,Stock_77,Stock_78,Stock_79,Stock_80,Stock_81,Stock_82,Stock_83,Stock_84,Stock_85,Stock_86,Stock_87,Stock_88,Stock_89,Stock_90,Stock_91,Stock_92,Stock_93,Stock_94,Stock_95,Stock_96,Stock_97,Stock_98,Stock_99
20000104,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
20000105,0.003951729,99,17.11053029,1,17.11448689,17.11553077,17.1092644,17.11622528,17.11106202,17.11304531,17.11251664,17.11151128,17.11027467,17.11169583,17.11068223,17.1116351,17.11343086,17.10538737,17.11167403,17.11099757,17.11416361,17.07758883,17.10911293,17.11021826,17.10074966,17.11882544,17.11006126,17.10394264,17.11575335,17.11233994,17.11174487,17.11514772,17.10889001,17.11187033,17.11289503,17.10787232,17.11311526,17.11058776,17.11175133,17.11430019,17.11236553,17.11424728,17.11389173,17.11382466,17.1123095,17.11211084,17.11127988,17.11462472,17.11695541,17.10179725,17.10452943,17.10988949,17.11403718,17.11263206,17.11318193,17.11507278,17.11212132,17.11312323,17.11096577,17.10654535,17.11170767,17.11021122,17.11402796,17.09824974,17.10884857,17.1099171,17.11661894,17.11308551,17.11488983,17.11224889,17.10737932,17.10846996,17.11167127,17.09015716,17.11439705,17.11277389,17.1115904,17.11328549,17.1085013,17.11819536,17.09635043,17.10287707,17.11611806,17.11283209,17.11429301,17.11149178,17.11586694,17.11562266,17.11470606,17.11151421,17.11568525,17.11532239,17.1028516,17.10604272,17.1115065,17.10019298,17.11344919,17.10335207,17.10960398,17.1126258,17.10639208,17.11259189,17.09814271,17.11151421
20000106,0.008364469,0,16.99403951,1,16.9939596,16.994079,16.99424996,16.99426911,16.99411129,16.99416809,16.99394375,16.994079,16.99367408,16.99366845,16.99409833,16.99403818,16.99386257,16.994127,16.99394024,16.99390924,16.99410914,16.9944976,16.99357005,16.99395342,16.99392753,16.99374567,16.99356268,16.9945281,16.99413699,16.99476223,16.99417351,16.99383111,16.99388693,16.99427131,16.99376807,16.99392851,16.9939865,16.99394268,16.99404657,16.99389521,16.99411851,16.99397083,16.99419061,16.9938576,16.9939229,16.99429929,16.99403597,16.99417981,16.994079,16.99450721,16.99392507,16.99425056,16.99392921,16.99410799,16.99413358,16.99404168,16.99404703,16.99399308,16.99411186,16.99441507,16.99410684,16.99431894,16.99396462,16.99478074,16.99390691,16.99395663,16.99330314,16.99374469,16.99415086,16.99422042,16.99427034,16.99420666,16.99402426,16.99433194,16.99398107,16.99350033,16.99323563,16.99304567,16.99448426,16.99402105,16.99393789,16.99358531,16.99441591,16.99444149,16.99420917,16.99410236,16.99402233,16.99393759,16.9943745,16.99388455,16.99391359,16.994079,16.99423021,16.99414567,16.9939408,16.99405942,16.99379171,16.99424849,16.99389438,16.99440322,16.99399654,16.99396909,16.99410959,16.99388455
20000107,0.016994544,0,16.91691236,1,16.916996,16.91701579,16.91658292,16.9171898,16.91696361,16.9170265,16.916996,16.916996,16.91662421,16.91706839,16.91701537,16.91696551,16.91639073,16.91685236,16.91667666,16.91711969,16.91692391,16.91732367,16.91711225,16.91669628,16.916996,16.91645837,16.91690994,16.917717,16.91687997,16.916446,16.91702785,16.91675961,16.91708421,16.91658828,16.91680883,16.916996,16.91668963,16.91696953,16.91712362,16.91691725,16.91778269,16.91688899,16.91682444,16.9171043,16.91696718,16.91683361,16.91702431,16.916996,16.91670452,16.91583923,16.91713256,16.91708311,16.916996,16.91684581,16.91680394,16.91682769,16.91692696,16.91668112,16.916996,16.91626131,16.91692341,16.91739549,16.91714715,16.91685086,16.91698612,16.91697653,16.9162344,16.91702706,16.91704827,16.91694841,16.91688863,16.91682979,16.91696878,16.91794451,16.91652186,16.91663668,16.91635687,16.916996,16.91694916,16.91714965,16.91783088,16.9163504,16.9159025,16.91569652,16.91694588,16.916858,16.91701478,16.91675696,16.91697524,16.91691565,16.91698294,16.91718468,16.91684246,16.91717497,16.91682784,16.91731522,16.91715113,16.91682359,16.91717727,16.91670562,16.91757639,16.91694181,16.917162,16.91691565
20000110,0.009261956,0.009219327,17.81824606,1,17.81820362,17.8183334,17.81769568,17.81817094,17.818416,17.81823486,17.81825322,17.81829334,17.81842155,17.81794776,17.81833838,17.8183856,17.81824944,17.81805838,17.81772634,17.81882602,17.81815509,17.81763808,17.81844214,17.81829057,17.81866369,17.81933437,17.81817258,17.81834843,17.818416,17.81814744,17.81828834,17.81831396,17.8181389,17.818416,17.81819144,17.81808601,17.81826716,17.81835321,17.81831948,17.81831524,17.81827967,17.81833659,17.81825177,17.818416,17.81820527,17.81851394,17.81802772,17.81831416,17.818416,17.81794602,17.81817006,17.81820235,17.81831908,17.81835395,17.81822763,17.81847117,17.81848457,17.81847204,17.81844897,17.81778786,17.8184548,17.8177197,17.81833926,17.81843736,17.81781971,17.81837101,17.81711656,17.8182862,17.8178582,17.81827256,17.81767301,17.818144,17.81833003,17.81779806,17.8186732,17.81821981,17.81784143,17.81859727,17.81846262,17.81817543,17.81796053,17.81777084,17.81913029,17.81910037,17.81828477,17.818416,17.81858672,17.81796853,17.81839528,17.81793772,17.81844108,17.81803138,17.81881393,17.81816543,17.81751669,17.81853713,17.81803772,17.818416,17.81893908,17.81837256,17.81800523,17.81792432,17.8178285,17.81793772
20000111,-0.011107715,-0.022339733,17.97057938,1,17.97071821,17.97085715,17.97071577,17.9704328,17.97070429,17.97052334,17.97077388,17.970672,17.97077854,17.97049968,17.97071051,17.9707023,17.97072355,17.97067586,17.97064719,17.97017268,17.97071475,17.97007829,17.97069821,17.97086525,17.97082194,17.97078436,17.97079085,17.97000086,17.97081584,17.97037969,17.97073509,17.9709006,17.97036301,17.97054042,17.97081176,17.97061181,17.97108201,17.97068122,17.97054397,17.9708603,17.97014345,17.97047505,17.97061523,17.970672,17.97032022,17.97064077,17.97070007,17.97060459,17.97054128,17.97042126,17.97062688,17.97021619,17.97052802,17.97070046,17.97124006,17.97050556,17.97060296,17.97070018,17.97063892,17.97070778,17.97070539,17.97000626,17.9705197,17.97012014,17.97096268,17.97068523,17.97040884,17.97073607,17.97086342,17.970672,17.97085166,17.97083081,17.970672,17.96985738,17.97077232,17.97050939,17.96988194,17.97085662,17.97057833,17.97114819,17.97084141,17.97063564,17.97019508,17.97059073,17.97023418,17.97069388,17.97098792,17.97016921,17.97063065,17.97029163,17.97044573,17.97030163,17.97072587,17.97060533,17.96994296,17.96962977,17.970672,17.970672,17.97102914,17.97075851,17.97021673,17.97044896,17.97030005,17.97029163
20000112,-0.001365107,-0.004098118,17.94865208,1,17.94861064,17.94889492,17.94839923,17.94867664,17.94856876,17.94836568,17.94858531,17.948541,17.94851834,17.94891404,17.948541,17.9485714,17.94867267,17.94851804,17.94862351,17.94851319,17.94862462,17.94891463,17.94859355,17.94860669,17.94874603,17.94910918,17.94869738,17.94778628,17.94868694,17.948541,17.94862009,17.94868246,17.94886364,17.94859708,17.94856125,17.94860083,17.94838857,17.94859423,17.94873062,17.94862001,17.94858134,17.94878566,17.94851495,17.94819428,17.94848663,17.94837494,17.94867952,17.94844028,17.94879906,17.94819315,17.94831709,17.94880011,17.9483496,17.948541,17.94873702,17.94823197,17.94860957,17.94848449,17.94857397,17.94845196,17.94864709,17.94863209,17.94869102,17.94873792,17.94823189,17.94852775,17.94822049,17.94855906,17.948541,17.94868241,17.94868735,17.94863093,17.94856792,17.94902312,17.948541,17.94886126,17.9487015,17.94816482,17.94879642,17.948461,17.94903337,17.94948303,17.948262,17.94894535,17.94869737,17.94865549,17.94877967,17.9491793,17.94879495,17.9492189,17.948541,17.94800529,17.94879933,17.94874519,17.94891757,17.94900368,17.94918899,17.94904947,17.94980363,17.94871552,17.94808373,17.94911126,17.94884269,17.9492189
20000113,0.017066976,0.067691886,17.87912865,1,17.879115,17.87908385,17.87917286,17.879115,17.87914284,17.87927275,17.87898175,17.87903847,17.87916021,17.87928909,17.87912789,17.87908451,17.87909594,17.87909209,17.87938954,17.87905933,17.87913095,17.87905216,17.87919424,17.87914043,17.87885493,17.879115,17.87907826,17.8788226,17.87890753,17.87957838,17.87882727,17.87918123,17.87914065,17.87918921,17.87926718,17.87908722,17.87908472,17.87903438,17.87908236,17.87912633,17.879115,17.87937899,17.87919729,17.87934428,17.87916908,17.87918136,17.87905866,17.87901586,17.879115,17.87901543,17.87870599,17.87915143,17.87904959,17.8790817,17.87927197,17.87885032,17.87914686,17.87908099,17.87912051,17.87936411,17.879115,17.87927791,17.8792673,17.879115,17.87901199,17.87908955,17.879115,17.8790659,17.8792399,17.87887616,17.8792913,17.87922368,17.87907901,17.87903805,17.87921633,17.8792502,17.87944058,17.87920563,17.87899618,17.87853299,17.87969087,17.87924167,17.87947214,17.87938904,17.87903431,17.879115,17.87914538,17.879115,17.87907275,17.87916404,17.87932446,17.87962347,17.87868728,17.8790812,17.87924543,17.8793608,17.87920161,17.879115,17.87792039,17.87902619,17.87894156,17.87938796,17.8793673,17.87916404
20000114,0.00757715,0.037742938,17.95024233,1,17.95024936,17.94999202,17.9505682,17.95036716,17.95043627,17.95069076,17.950413,17.9503687,17.95025403,17.95037871,17.950413,17.9503826,17.950413,17.95030634,17.95033601,17.950413,17.95032626,17.95060023,17.95057275,17.95034671,17.94987513,17.95053348,17.95054699,17.94990164,17.95035484,17.95003682,17.95039758,17.950413,17.95027653,17.95037412,17.95032028,17.95023756,17.9503232,17.95030684,17.95044554,17.95033327,17.94961192,17.95026387,17.9504392,17.950413,17.95018645,17.950413,17.95027332,17.94985595,17.950413,17.95056089,17.95051111,17.95013373,17.95027464,17.95044145,17.95019545,17.94979475,17.950413,17.95049554,17.95044609,17.95004804,17.95048072,17.95034814,17.95025834,17.95021897,17.95055206,17.95041909,17.94864157,17.95037957,17.95038533,17.95045999,17.95040363,17.95039451,17.95044438,17.94998669,17.95024059,17.94987958,17.94969175,17.95050446,17.95055461,17.95056925,17.94936234,17.94863717,17.950413,17.95033759,17.95032045,17.950413,17.95027079,17.9498827,17.95039196,17.9498897,17.94999817,17.95023443,17.95010537,17.95034001,17.94995044,17.94996207,17.94998172,17.9507255,17.95008598,17.95032497,17.95043341,17.94959586,17.95018422,17.9498897
20000118,0.002675018,0.016028681,18.42796623,1,18.42783499,18.42779366,18.42788435,18.42795075,18.428042,18.42798198,18.42815876,18.42808611,18.42817612,18.4278996,18.42800329,18.4280723,18.42815129,18.42820784,18.4275836,18.42806939,18.42807142,18.42764894,18.42821787,18.42808759,18.42806547,18.4277981,18.42772126,18.4273393,18.42821548,18.42755862,18.42825927,18.42797533,18.42869956,18.42791093,18.42820532,18.42798755,18.42795265,18.42795446,18.428042,18.42806468,18.4283545,18.428042,18.42812519,18.42791565,18.42793123,18.42807283,18.4281385,18.42856965,18.42790955,18.42831719,18.42797488,18.4282545,18.42795102,18.42807053,18.4277721,18.42762126,18.42807397,18.428042,18.428042,18.42788285,18.42800791,18.42789195,18.4282321,18.42789933,18.42796676,18.428042,18.42867518,18.42817014,18.42794346,18.42766754,18.42813641,18.42791424,18.428042,18.42731882,18.42827505,18.4273473,18.42873677,18.42745738,18.42789836,18.42772454,18.42767502,18.42811654,18.42776052,18.42854755,18.42798004,18.42776477,18.42794184,18.42814991,18.42793003,18.42793868,18.42816255,18.42821744,18.42704717,18.428042,18.42793674,18.42814987,18.428042,18.42698209,18.42762533,18.42795474,18.42672955,18.42799691,18.42791251,18.42793868
20000119,0.003355776,0.023451108,18.52477625,1,18.52451005,18.52484339,18.5248078,18.52489343,18.52483099,18.52487698,18.52495068,18.52487895,18.52474635,18.5246626,18.52484156,18.52467635,18.5249714,18.52498697,18.52484358,18.524803,18.52483024,18.52483219,18.52502333,18.52461472,18.5246354,18.52408871,18.52461179,18.52409593,18.52486185,18.52363585,18.52504069,18.52445532,18.52479047,18.52485887,18.52521807,18.52488423,18.52489156,18.52482036,18.52483478,18.524769,18.52504386,18.52507017,18.52466172,18.52469605,18.52488626,18.524803,18.52504028,18.52447539,18.52438906,18.524803,18.5250528,18.52504424,18.5251657,18.52483161,18.52545303,18.5245239,18.52473352,18.52491446,18.5248362,18.52395453,18.52483698,18.52485221,18.52464774,18.52501068,18.52421496,18.52488631,18.52522661,18.52509635,18.52497474,18.52439662,18.5246409,18.52447815,18.524803,18.52518838,18.52429324,18.52488416,18.5254779,18.52390184,18.52499166,18.52491992,18.52446724,18.52525361,18.52489666,18.52430422,18.52487935,18.52475864,18.5248625,18.52516664,18.52497601,18.52514676,18.52499824,18.52462443,18.52466909,18.52490891,18.5243705,18.52457208,18.52509081,18.52513633,18.523795,18.52462999,18.52489369,18.52466834,18.5243905,18.52514676
20000120,-0.00472588,-0.037896657,18.31828244,1,18.31820653,18.31855931,18.31841251,18.31846049,18.31825987,18.31827112,18.318316,18.318316,18.31820892,18.31845445,18.318316,18.31822095,18.31818385,18.31827108,18.31822635,18.31834405,18.31823179,18.31787395,18.31830192,18.31842588,18.31836227,18.31798267,18.31782338,18.31841034,18.318316,18.31823858,18.31812102,18.317884,18.31834312,18.31837218,18.31842426,18.318316,18.3183455,18.31818595,18.31844527,18.31829353,18.3180692,18.3184258,18.31826376,18.318316,18.31804203,18.31818713,18.3185301,18.31860171,18.31793943,18.318316,18.31811386,18.31846432,18.318316,18.31828731,18.318878,18.3186181,18.31828415,18.31820329,18.31828269,18.31869939,18.31824782,18.31839396,18.318316,18.31837076,18.31828073,18.31827092,18.31828541,18.31809936,18.3180936,18.31809959,18.31854109,18.31842088,18.31836996,18.31854981,18.31819216,18.3181796,18.31774736,18.31796933,18.31835208,18.31876432,18.31807236,18.31799537,18.31835964,18.31872692,18.31802064,18.31836016,18.31875636,18.31856128,18.31813994,18.31845067,18.31836578,18.31849144,18.31778029,18.31838924,18.31783194,18.31778308,18.31840224,18.318316,18.31724042,18.31793335,18.31851718,18.31890301,18.31828805,18.31845067
20000121,-0.003144627,-0.028346232,18.02274426,1,18.02300019,18.02319575,18.02291744,18.022697,18.02266909,18.022772,18.02293682,18.02257583,18.02286419,18.02318745,18.022697,18.02266727,18.0229819,18.02286995,18.02280201,18.0226132,18.02265412,18.02255811,18.02321726,18.02273235,18.02272024,18.02323463,18.02289819,18.0224589,18.02263781,18.02277382,18.02287244,18.022697,18.02308813,18.02271484,18.02286992,18.02275614,18.02305475,18.02206196,18.02286113,18.02274202,18.02273786,18.02290516,18.0226407,18.02313792,18.02293786,18.022697,18.02275539,18.02279485,18.02281797,18.02286432,18.02300836,18.02253407,18.02274378,18.02257778,18.02192906,18.02289924,18.02266525,18.022697,18.02276341,18.02282989,18.0226575,18.02310357,18.02296483,18.02306184,18.02260914,18.02273474,18.0232248,18.02272841,18.02262318,18.02290882,18.02280262,18.02236119,18.02266988,18.02240629,18.02272758,18.02254883,18.02316178,18.02238772,18.02266079,18.02242972,18.02206863,18.02100884,18.02247056,18.02321451,18.02280308,18.02278692,18.02265526,18.02347069,18.02261396,18.02258965,18.02297217,18.02323271,18.02299192,18.02254944,18.02232519,18.02216129,18.02291447,18.02252459,18.02235579,18.022697,18.02313889,18.02283816,18.02269148,18.02258965
